file_path,label
./prospace_assignment/prospace_assignment\100_2022_10.tif,growing
./prospace_assignment/prospace_assignment\100_2022_11.tif,growing
./prospace_assignment/prospace_assignment\100_2022_4.tif,growing
./prospace_assignment/prospace_assignment\100_2022_5.tif,growing
./prospace_assignment/prospace_assignment\100_2022_6.tif,growing
./prospace_assignment/prospace_assignment\100_2022_7.tif,growing
./prospace_assignment/prospace_assignment\100_2022_8.tif,lush
./prospace_assignment/prospace_assignment\100_2022_9.tif,lush
./prospace_assignment/prospace_assignment\100_2023_0.tif,growing
./prospace_assignment/prospace_assignment\100_2023_1.tif,growing
./prospace_assignment/prospace_assignment\100_2023_2.tif,growing
./prospace_assignment/prospace_assignment\100_2023_3.tif,growing
./prospace_assignment/prospace_assignment\101_2022_10.tif,growing
./prospace_assignment/prospace_assignment\101_2022_11.tif,growing
./prospace_assignment/prospace_assignment\101_2022_4.tif,growing
./prospace_assignment/prospace_assignment\101_2022_5.tif,growing
./prospace_assignment/prospace_assignment\101_2022_6.tif,growing
./prospace_assignment/prospace_assignment\101_2022_7.tif,growing
./prospace_assignment/prospace_assignment\101_2022_8.tif,lush
./prospace_assignment/prospace_assignment\101_2022_9.tif,lush
./prospace_assignment/prospace_assignment\101_2023_0.tif,lush
./prospace_assignment/prospace_assignment\101_2023_1.tif,growing
./prospace_assignment/prospace_assignment\101_2023_2.tif,growing
./prospace_assignment/prospace_assignment\101_2023_3.tif,growing
./prospace_assignment/prospace_assignment\102_2022_10.tif,growing
./prospace_assignment/prospace_assignment\102_2022_11.tif,growing
./prospace_assignment/prospace_assignment\102_2022_4.tif,growing
./prospace_assignment/prospace_assignment\102_2022_5.tif,growing
./prospace_assignment/prospace_assignment\102_2022_6.tif,no_crop
./prospace_assignment/prospace_assignment\102_2022_7.tif,growing
./prospace_assignment/prospace_assignment\102_2022_8.tif,lush
./prospace_assignment/prospace_assignment\102_2022_9.tif,growing
./prospace_assignment/prospace_assignment\102_2023_0.tif,growing
./prospace_assignment/prospace_assignment\102_2023_1.tif,growing
./prospace_assignment/prospace_assignment\102_2023_2.tif,growing
./prospace_assignment/prospace_assignment\102_2023_3.tif,growing
./prospace_assignment/prospace_assignment\103_2022_10.tif,lush
./prospace_assignment/prospace_assignment\103_2022_11.tif,growing
./prospace_assignment/prospace_assignment\103_2022_4.tif,growing
./prospace_assignment/prospace_assignment\103_2022_5.tif,growing
./prospace_assignment/prospace_assignment\103_2022_6.tif,growing
./prospace_assignment/prospace_assignment\103_2022_7.tif,growing
./prospace_assignment/prospace_assignment\103_2022_8.tif,growing
./prospace_assignment/prospace_assignment\103_2022_9.tif,lush
./prospace_assignment/prospace_assignment\103_2023_0.tif,growing
./prospace_assignment/prospace_assignment\103_2023_1.tif,growing
./prospace_assignment/prospace_assignment\103_2023_2.tif,growing
./prospace_assignment/prospace_assignment\103_2023_3.tif,growing
./prospace_assignment/prospace_assignment\104_2022_10.tif,growing
./prospace_assignment/prospace_assignment\104_2022_11.tif,growing
./prospace_assignment/prospace_assignment\104_2022_4.tif,growing
./prospace_assignment/prospace_assignment\104_2022_5.tif,growing
./prospace_assignment/prospace_assignment\104_2022_6.tif,growing
./prospace_assignment/prospace_assignment\104_2022_7.tif,lush
./prospace_assignment/prospace_assignment\104_2022_8.tif,lush
./prospace_assignment/prospace_assignment\104_2022_9.tif,growing
./prospace_assignment/prospace_assignment\104_2023_0.tif,lush
./prospace_assignment/prospace_assignment\104_2023_1.tif,growing
./prospace_assignment/prospace_assignment\104_2023_2.tif,growing
./prospace_assignment/prospace_assignment\104_2023_3.tif,growing
./prospace_assignment/prospace_assignment\105_2022_10.tif,lush
./prospace_assignment/prospace_assignment\105_2022_11.tif,growing
./prospace_assignment/prospace_assignment\105_2022_4.tif,growing
./prospace_assignment/prospace_assignment\105_2022_5.tif,growing
./prospace_assignment/prospace_assignment\105_2022_6.tif,growing
./prospace_assignment/prospace_assignment\105_2022_7.tif,lush
./prospace_assignment/prospace_assignment\105_2022_8.tif,lush
./prospace_assignment/prospace_assignment\105_2022_9.tif,lush
./prospace_assignment/prospace_assignment\105_2023_0.tif,growing
./prospace_assignment/prospace_assignment\105_2023_1.tif,growing
./prospace_assignment/prospace_assignment\105_2023_2.tif,growing
./prospace_assignment/prospace_assignment\105_2023_3.tif,growing
./prospace_assignment/prospace_assignment\106_2022_10.tif,growing
./prospace_assignment/prospace_assignment\106_2022_11.tif,growing
./prospace_assignment/prospace_assignment\106_2022_4.tif,growing
./prospace_assignment/prospace_assignment\106_2022_5.tif,growing
./prospace_assignment/prospace_assignment\106_2022_6.tif,growing
./prospace_assignment/prospace_assignment\106_2022_7.tif,lush
./prospace_assignment/prospace_assignment\106_2022_8.tif,lush
./prospace_assignment/prospace_assignment\106_2022_9.tif,growing
./prospace_assignment/prospace_assignment\106_2023_0.tif,lush
./prospace_assignment/prospace_assignment\106_2023_1.tif,growing
./prospace_assignment/prospace_assignment\106_2023_2.tif,growing
./prospace_assignment/prospace_assignment\106_2023_3.tif,growing
./prospace_assignment/prospace_assignment\107_2022_10.tif,growing
./prospace_assignment/prospace_assignment\107_2022_11.tif,growing
./prospace_assignment/prospace_assignment\107_2022_4.tif,growing
./prospace_assignment/prospace_assignment\107_2022_5.tif,growing
./prospace_assignment/prospace_assignment\107_2022_6.tif,growing
./prospace_assignment/prospace_assignment\107_2022_7.tif,lush
./prospace_assignment/prospace_assignment\107_2022_8.tif,lush
./prospace_assignment/prospace_assignment\107_2022_9.tif,growing
./prospace_assignment/prospace_assignment\107_2023_0.tif,lush
./prospace_assignment/prospace_assignment\107_2023_1.tif,growing
./prospace_assignment/prospace_assignment\107_2023_2.tif,growing
./prospace_assignment/prospace_assignment\107_2023_3.tif,growing
./prospace_assignment/prospace_assignment\108_2022_10.tif,growing
./prospace_assignment/prospace_assignment\108_2022_11.tif,growing
./prospace_assignment/prospace_assignment\108_2022_4.tif,growing
./prospace_assignment/prospace_assignment\108_2022_5.tif,growing
./prospace_assignment/prospace_assignment\108_2022_6.tif,growing
./prospace_assignment/prospace_assignment\108_2022_7.tif,growing
./prospace_assignment/prospace_assignment\108_2022_8.tif,growing
./prospace_assignment/prospace_assignment\108_2022_9.tif,growing
./prospace_assignment/prospace_assignment\108_2023_0.tif,lush
./prospace_assignment/prospace_assignment\108_2023_1.tif,growing
./prospace_assignment/prospace_assignment\108_2023_2.tif,growing
./prospace_assignment/prospace_assignment\108_2023_3.tif,growing
./prospace_assignment/prospace_assignment\109_2022_10.tif,growing
./prospace_assignment/prospace_assignment\109_2022_11.tif,growing
./prospace_assignment/prospace_assignment\109_2022_4.tif,growing
./prospace_assignment/prospace_assignment\109_2022_5.tif,growing
./prospace_assignment/prospace_assignment\109_2022_6.tif,growing
./prospace_assignment/prospace_assignment\109_2022_7.tif,lush
./prospace_assignment/prospace_assignment\109_2022_8.tif,lush
./prospace_assignment/prospace_assignment\109_2022_9.tif,growing
./prospace_assignment/prospace_assignment\109_2023_0.tif,lush
./prospace_assignment/prospace_assignment\109_2023_1.tif,growing
./prospace_assignment/prospace_assignment\109_2023_2.tif,growing
./prospace_assignment/prospace_assignment\109_2023_3.tif,growing
./prospace_assignment/prospace_assignment\10_2022_10.tif,growing
./prospace_assignment/prospace_assignment\10_2022_11.tif,growing
./prospace_assignment/prospace_assignment\10_2022_4.tif,growing
./prospace_assignment/prospace_assignment\10_2022_5.tif,growing
./prospace_assignment/prospace_assignment\10_2022_6.tif,growing
./prospace_assignment/prospace_assignment\10_2022_7.tif,lush
./prospace_assignment/prospace_assignment\10_2022_8.tif,lush
./prospace_assignment/prospace_assignment\10_2022_9.tif,growing
./prospace_assignment/prospace_assignment\10_2023_0.tif,growing
./prospace_assignment/prospace_assignment\10_2023_1.tif,lush
./prospace_assignment/prospace_assignment\10_2023_2.tif,growing
./prospace_assignment/prospace_assignment\10_2023_3.tif,growing
./prospace_assignment/prospace_assignment\110_2022_10.tif,growing
./prospace_assignment/prospace_assignment\110_2022_11.tif,growing
./prospace_assignment/prospace_assignment\110_2022_4.tif,growing
./prospace_assignment/prospace_assignment\110_2022_5.tif,growing
./prospace_assignment/prospace_assignment\110_2022_6.tif,growing
./prospace_assignment/prospace_assignment\110_2022_7.tif,lush
./prospace_assignment/prospace_assignment\110_2022_8.tif,growing
./prospace_assignment/prospace_assignment\110_2022_9.tif,growing
./prospace_assignment/prospace_assignment\110_2023_0.tif,growing
./prospace_assignment/prospace_assignment\110_2023_1.tif,growing
./prospace_assignment/prospace_assignment\110_2023_2.tif,growing
./prospace_assignment/prospace_assignment\110_2023_3.tif,growing
./prospace_assignment/prospace_assignment\111_2022_10.tif,growing
./prospace_assignment/prospace_assignment\111_2022_11.tif,growing
./prospace_assignment/prospace_assignment\111_2022_4.tif,growing
./prospace_assignment/prospace_assignment\111_2022_5.tif,growing
./prospace_assignment/prospace_assignment\111_2022_6.tif,growing
./prospace_assignment/prospace_assignment\111_2022_7.tif,growing
./prospace_assignment/prospace_assignment\111_2022_8.tif,lush
